,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,ATM_CE_AND_PE,PERCENTAGEOF_LTP,PREMIUM_COLLECTED
124,METROPOLIS,METROPOLIS23DECFUT,400,1649.95,103,6.242613412527652,41200.0
125,MFSL,MFSL23DECFUT,800,967.95,50,5.165556072111163,40000.0
126,MGL,MGL23DECFUT,800,1192.15,55,4.613513400159375,44000.0
127,MOTHERSON,MOTHERSON23DECFUT,7100,96.5,4,4.145077720207254,28400.0
128,MPHASIS,MPHASIS23DECFUT,275,2650.1,126,4.754537564620203,34650.0
129,MRF,MRF23DECFUT,5,119311.5,2746,2.301538409960482,13730.0
130,MUTHOOTFIN,MUTHOOTFIN23DECFUT,550,1486.1,55,3.7009622501850483,30250.0
131,NATIONALUM,NATIONALUM23DECFUT,7500,112.75,3,2.6607538802660753,22500.0
132,NAUKRI,NAUKRI23DECFUT,150,5211.25,246,4.7205564883665145,36900.0
133,NAVINFLUOR,NAVINFLUOR23DECFUT,150,3860,169,4.3782383419689115,25350.0
134,NESTLEIND,NESTLEIND23DECFUT,40,25576.3,943,3.6870071120529557,37720.0
135,NMDC,NMDC23DECFUT,4500,193.85,10,5.158627805003869,45000.0
136,NTPC,NTPC23DECFUT,3000,310.1,10,3.2247662044501775,30000.0
137,OBEROIRLTY,OBEROIRLTY23DECFUT,700,1425.4,53,3.7182545250456007,37100.0
138,OFSS,OFSS23DECFUT,200,4378.1,199,4.545350722916333,39800.0
139,ONGC,ONGC23DECFUT,3850,200.8,8,3.9840637450199203,30800.0
140,PAGEIND,PAGEIND23DECFUT,15,37903.45,1179,3.1105347930069693,17685.0
141,PEL,PEL23DECFUT,750,964.25,48,4.977962146746176,36000.0
142,PERSISTENT,PERSISTENT23DECFUT,175,7077.35,291,4.1117084784559195,50925.0
143,PETRONET,PETRONET23DECFUT,3000,216.65,8,3.6925917378259863,24000.0
144,PFC,PFC23DECFUT,3875,410.75,22,5.356055995130858,85250.0
145,PIDILITIND,PIDILITIND23DECFUT,250,2660.35,82,3.082301200969797,20500.0
146,PIIND,PIIND23DECFUT,250,3399,178,5.236834363047955,44500.0
147,PNB,PNB23DECFUT,8000,91.5,4,4.371584699453552,32000.0
148,POLYCAB,POLYCAB23DECFUT,100,5630,200,3.5523978685612785,20000.0
149,POWERGRID,POWERGRID23DECFUT,3600,234.3,10,4.2680324370465215,36000.0
150,PVRINOX,PVRINOX23DECFUT,407,1816.45,92,5.064824245093451,37444.0
151,RAMCOCEM,RAMCOCEM23DECFUT,850,1029.1,44,4.275580604411623,37400.0
152,RBLBANK,RBLBANK23DECFUT,2500,287.25,14,4.873803307223673,35000.0
153,RECLTD,RECLTD23DECFUT,2000,437.8,24,5.481955230698949,48000.0
154,RELIANCE,RELIANCE23DECFUT,250,2561.25,63,2.459736456808199,15750.0
155,SAIL,SAIL23DECFUT,8000,111.4,1,0.8976660682226212,8000.0
156,SBICARD,SBICARD23DECFUT,800,779.3,32,4.106249197998204,25600.0
157,SBILIFE,SBILIFE23DECFUT,750,1433.5,41,2.86013254272759,30750.0
158,SBIN,SBIN23DECFUT,1500,657.3,22,3.347025711242964,33000.0
159,SHREECEM,SHREECEM23DECFUT,25,28611.9,945,3.3028215532697933,23625.0
160,SHRIRAMFIN,SHRIRAMFIN23DECFUT,300,2070,91,4.396135265700483,27300.0
161,SIEMENS,SIEMENS23DECFUT,275,4032,202,5.009920634920635,55550.0
162,SRF,SRF23DECFUT,375,2433,97,3.986847513357994,36375.0
163,SUNPHARMA,SUNPHARMA23DECFUT,700,1249.05,29,2.321764541051199,20300.0
164,SUNTV,SUNTV23DECFUT,1500,693.75,31,4.468468468468469,46500.0
165,SYNGENE,SYNGENE23DECFUT,1000,704.1,35,4.970884817497515,35000.0
166,TATACHEM,TATACHEM23DECFUT,550,1032.75,40,3.8731541999515855,22000.0
167,TATACOMM,TATACOMM23DECFUT,500,1782.5,73,4.095371669004208,36500.0
168,TATACONSUM,TATACONSUM23DECFUT,900,970.35,32,3.297779151852424,28800.0
169,TATAMOTORS,TATAMOTORS23DECFUT,1425,731.05,22,3.009370084125573,31350.0
170,TATAPOWER,TATAPOWER23DECFUT,3375,337.2,16,4.744958481613286,54000.0
171,TATASTEEL,TATASTEEL23DECFUT,5500,135.55,4,2.9509406123201765,22000.0
172,TCS,TCS23DECFUT,175,3823.05,106,2.7726553406311716,18550.0
173,TECHM,TECHM23DECFUT,600,1283.2,48,3.7406483790523692,28800.0
174,TITAN,TITAN23DECFUT,375,3623,96,2.649737786364891,36000.0
175,TORNTPHARM,TORNTPHARM23DECFUT,500,2175.5,44,2.022523557802804,22000.0
176,TRENT,TRENT23DECFUT,400,3008.05,109,3.6236099798873025,43600.0
177,TVSMOTOR,TVSMOTOR23DECFUT,350,1983.05,70,3.5299160384256574,24500.0
178,UBL,UBL23DECFUT,400,1704.7,62,3.63700357834223,24800.0
179,ULTRACEMCO,ULTRACEMCO23DECFUT,100,9980.7,284,2.8454917991724025,28400.0
180,UPL,UPL23DECFUT,1300,600.8,18,2.9960053262316912,23400.0
181,VEDL,VEDL23DECFUT,2000,262.8,14,5.32724505327245,28000.0
182,VOLTAS,VOLTAS23DECFUT,600,900.2,42,4.665629860031104,25200.0
183,WIPRO,WIPRO23DECFUT,1500,439.7,15,3.4114168751421428,22500.0
184,ZEEL,ZEEL23DECFUT,3000,273.6,22,8.04093567251462,66000.0
185,ZYDUSLIFE,ZYDUSLIFE23DECFUT,900,686.05,33,4.810145033160849,29700.0
