ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
91,BOSCHLTD,BOSCHLTD23DECFUT,50,21938.95,0.4147873986676664,4550.0,91,877.4,877.4,690.4,747.25,3105.4,2859.15,BOSCHLTD23DECFUT
3,BPCL,BPCL23DECFUT,1800,454.2,0.6605019815059445,5400.0,4,10.55,13.25,15.45,18.75,19.450000000000003,20.700000000000003,BPCL23DECFUT
28,BRITANNIA,BRITANNIA23DECFUT,200,5183.1,0.5402172445061835,5600.0,28,104.05,126.45,130.45,137.3,151.7,138.25,BRITANNIA23DECFUT
5,BSOFT,BSOFT23DECFUT,1000,734.7,0.6805498843065196,5000.0,5,25.4,31.7,35.85,39.0,42.2,44.45,BSOFT23DECFUT
4,CANBK,CANBK23DECFUT,2700,432.5,0.9248554913294799,10800.0,8,10.85,13.5,15.7,18.45,21.200000000000003,22.3,CANBK23DECFUT
7,CANFINHOME,CANFINHOME23DECFUT,975,775.3,0.9028763059460855,6825.0,7,25.3,26.15,35.05,42.65,46.55,48.9,CANFINHOME23DECFUT
4,CHAMBLFERT,CHAMBLFERT23DECFUT,1900,366.05,1.0927468925010244,7600.0,8,12.1,12.95,15.45,18.6,21.15,21.9,CHAMBLFERT23DECFUT
11,CHOLAFIN,CHOLAFIN23DECFUT,625,1256.6,0.8753780041381507,6875.0,17,31.55,33.55,46.45,52.900000000000006,52.55,56.65,CHOLAFIN23DECFUT
5,CIPLA,CIPLA23DECFUT,650,1239.2,0.40348612007746937,3250.0,12,26.9,28.9,34.45,42.0,43.150000000000006,44.25,CIPLA23DECFUT
3,COALINDIA,COALINDIA23DECFUT,2100,365.3,0.8212428141253763,6300.0,4,9.5,11.6,13.45,19.85,16.05,17.85,COALINDIA23DECFUT
66,COFORGE,COFORGE23DECFUT,150,6293.9,1.0486343920303787,9900.0,66,169.8,197.65,255.35,296.54999999999995,338.25,367.45,COFORGE23DECFUT
8,COLPAL,COLPAL23DECFUT,350,2456.7,0.3256400862946229,2800.0,17,47.400000000000006,57.4,70.1,84.8,82.30000000000001,88.35,COLPAL23DECFUT
6,CONCOR,CONCOR23DECFUT,1000,836.35,0.7174030011358881,6000.0,6,22.05,29.75,35.8,41.1,47.0,45.7,CONCOR23DECFUT
20,COROMANDEL,COROMANDEL23DECFUT,700,1237.3,1.616422856219187,14000.0,26,32.85,40.05,74.75,47.15,47.900000000000006,51.05,COROMANDEL23DECFUT
4,CROMPTON,CROMPTON23DECFUT,1800,299.7,1.3346680013346681,7200.0,4,9.35,12.6,13.25,22.2,14.8,13.2,CROMPTON23DECFUT
