ATM_CE_AND_PE,NFO Trading Symbol,Trading Symbol,Lotsize,LTP,PERCENTAGEOF_LTP,PREMIUM_COLLECTED,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,2023-12-15,Symbol
7,SBIN,SBIN23DECFUT,1500,648.75,1.0789980732177264,10500.0,10,14.65,17.950000000000003,19.95,22.25,23.8,25.55,SBIN23DECFUT
171,SHREECEM,SHREECEM23DECFUT,25,28623.4,0.5974133051978451,4275.0,138,528.75,1046.35,1005.9,1096.1,1081.5,1115.8000000000002,SHREECEM23DECFUT
24,SHRIRAMFIN,SHRIRAMFIN23DECFUT,300,2048.2,1.171760570256811,7200.0,24,62.8,69.85,87.9,95.35,97.35,102.75,SHRIRAMFIN23DECFUT
45,SIEMENS,SIEMENS23DECFUT,275,3976.2,1.1317338162064283,12375.0,45,125.65,136.7,181.2,209.25,264.05,175.2,SIEMENS23DECFUT
20,SRF,SRF23DECFUT,375,2467.3,0.810602683094881,7500.0,40,60.7,74.35,93.35,100.1,109.5,114.7,SRF23DECFUT
8,SUNPHARMA,SUNPHARMA23DECFUT,700,1248.35,0.6408459166099252,5600.0,8,15.1,21.85,27.35,32.35,37.25,34.6,SUNPHARMA23DECFUT
2,SUNTV,SUNTV23DECFUT,1500,703.75,0.2841918294849023,3000.0,8,149.7,29.1,31.4,33.95,35.599999999999994,38.2,SUNTV23DECFUT
9,SYNGENE,SYNGENE23DECFUT,1000,699.2,1.2871853546910754,9000.0,9,26.700000000000003,32.7,36.4,36.6,41.05,38.35,SYNGENE23DECFUT
13,TATACHEM,TATACHEM23DECFUT,550,1087.75,1.1951275568834752,7150.0,20,26.25,31.75,38.2,42.25,47.9,49.1,TATACHEM23DECFUT
15,TATACOMM,TATACOMM23DECFUT,500,1735.8,0.8641548565502939,7500.0,15,36.0,55.3,68.95,79.85,92.05,89.25,TATACOMM23DECFUT
4,TATACONSUM,TATACONSUM23DECFUT,900,1026.5,0.3896736483195324,3600.0,17,16.55,20.6,28.950000000000003,33.65,30.0,28.4,TATACONSUM23DECFUT
7,TATAMOTORS,TATAMOTORS23DECFUT,1425,738.75,0.9475465313028765,9975.0,18,14.5,17.15,21.55,23.450000000000003,27.4,28.700000000000003,TATAMOTORS23DECFUT
4,TATAPOWER,TATAPOWER23DECFUT,3375,324.2,1.2338062924120914,13500.0,4,9.8,12.95,15.8,16.85,19.3,20.55,TATAPOWER23DECFUT
1,TATASTEEL,TATASTEEL23DECFUT,5500,137,0.7299270072992701,5500.0,2,2.9,3.35,3.9,5.15,6.1,6.15,TATASTEEL23DECFUT
22,TCS,TCS23DECFUT,175,3808.5,0.5776552448470527,3850.0,22,78.35,90.2,102.25,108.45,133.85,135.3,TCS23DECFUT
13,TECHM,TECHM23DECFUT,600,1278.2,1.017055233922704,7800.0,13,31.95,34.7,43.35,49.0,56.45,60.400000000000006,TECHM23DECFUT
27,TITAN,TITAN23DECFUT,375,3688.65,0.7319751128461632,10125.0,30,53.75,68.30000000000001,89.05000000000001,99.1,110.5,103.1,TITAN23DECFUT
15,TORNTPHARM,TORNTPHARM23DECFUT,500,2264,0.6625441696113075,7500.0,14,59.1,73.85,82.35,92.05,103.75,108.05,TORNTPHARM23DECFUT
25,TRENT,TRENT23DECFUT,400,3013.5,0.8296001327360213,10000.0,33,60.75,81.1,104.7,118.65,126.15,134.5,TRENT23DECFUT
18,TVSMOTOR,TVSMOTOR23DECFUT,350,2008.6,0.8961465697500747,6300.0,18,43.3,56.1,73.55,74.15,82.1,84.05000000000001,TVSMOTOR23DECFUT
14,UBL,UBL23DECFUT,400,1701.7,0.8227067050596462,5600.0,19,36.7,48.4,57.65,62.85,75.9,70.75,UBL23DECFUT
102,ULTRACEMCO,ULTRACEMCO23DECFUT,100,10439.05,0.9771004066461987,10200.0,444,164.35,207.95,263.04999999999995,291.1,313.7,321.4,ULTRACEMCO23DECFUT
6,UPL,UPL23DECFUT,1300,583.7,1.027925304094569,7800.0,8,11.5,14.9,18.8,19.1,21.5,22.0,UPL23DECFUT
2,VEDL,VEDL23DECFUT,2000,252.4,0.7923930269413629,4000.0,2,6.45,8.3,9.55,14.9,16.8,15.8,VEDL23DECFUT
11,VOLTAS,VOLTAS23DECFUT,600,986.15,1.1154489682097044,6600.0,17,25.5,36.15,38.25,42.7,42.650000000000006,44.7,VOLTAS23DECFUT
5,WIPRO,WIPRO23DECFUT,1500,470,1.0638297872340425,7500.0,5,17.7,13.2,14.65,16.65,18.950000000000003,19.85,WIPRO23DECFUT
3,ZEEL,ZEEL23DECFUT,3000,264.9,1.1325028312570782,9000.0,3,9.65,17.6,27.0,22.65,25.75,29.1,ZEEL23DECFUT
3,ZYDUSLIFE,ZYDUSLIFE23DECFUT,900,686.35,0.4370947767174182,2700.0,9,18.2,23.5,27.9,35.1,39.8,29.6,ZYDUSLIFE23DECFUT
