,2023-12-27,2023-12-26,2023-12-22,2023-12-21,2023-12-20,2023-12-19,2023-12-18,Symbol,2023-12-28
67,50.35,51.0,47.45,39.8,44.95,43.5,43.5,MANAPPURAM24JANFUT,17
68,27.85,28.8,27.1,28.55,28.7,28.4,28.65,M&MFIN24JANFUT,26
69,101.75,103.4,101.8,103.55,106.75,267.05,276.25,M&M24JANFUT,107
70,118.1,115.05,179.0,174.05,92.4,179.0,174.05,LUPIN24JANFUT,98
71,1292.1,1285.1,1259.7,436.75,509.4,451.85,1337.35,LTTS24JANFUT,396
72,311.35,462.95,1139.55,506.15,1039.2,1071.55,1105.05,LTIM24JANFUT,449
73,188.2,179.6,662.85,188.15,162.65,635.9499999999999,618.7,LT24JANFUT,184
74,39.75,38.400000000000006,37.5,23.25,39.3,101.3,101.3,LICHSGFIN24JANFUT,37
75,85.15,46.55,44.45,43.05,62.65,68.39999999999999,68.39999999999999,LAURUSLABS24JANFUT,38
76,261.85,422.05,422.05,422.05,269.65,399.2,399.2,LALPATHLAB24JANFUT,212
77,0.0,13.65,28.4,12.75,26.8,32.75,32.75,L&TFH24JANFUT,14
78,98.55,99.65,99.15,106.4,94.85,102.0,103.1,KOTAKBANK24JANFUT,90
79,50.2,93.2,94.5,56.35,51.45,93.35,40.35,JUBLFOOD24JANFUT,43
80,75.05,64.75,65.4,63.75,67.15,175.25,169.2,JSWSTEEL24JANFUT,70
81,148.1,723.25,723.25,802.7,723.25,844.15,844.15,JKCEMENT24JANFUT,231
82,66.45,63.05,67.0,60.95,63.9,69.15,149.8,JINDALSTEL24JANFUT,62
83,21.0,21.65,21.7,22.8,23.5,27.55,43.2,ITC24JANFUT,23
84,104.7,109.7,111.55,121.15,126.55,294.6,293.45,IRCTC24JANFUT,97
85,67.3,138.25,138.25,178.95,178.95,155.95,167.54999999999998,IPCALAB24JANFUT,90
86,11.75,11.6,10.95,11.6,3.15,33.9,33.9,IOC24JANFUT,11
87,115.3,119.2,123.3,110.45,111.85,119.3,114.5,INFY24JANFUT,115
88,19.5,19.8,21.5,33.5,31.95,26.450000000000003,40.5,INDUSTOWER24JANFUT,20
89,92.8,89.1,90.0,92.4,90.55,94.8,92.3,INDUSINDBK24JANFUT,88
90,630.5999999999999,546.9,200.5,569.4,504.9,607.3,295.5,INDIGO24JANFUT,184
91,252.9,0.0,0.0,0.0,209.85,0.0,0.0,INDIAMART24JANFUT,241
92,32.95,70.0,57.0,57.0,33.55,83.3,60.05,INDIACEM24JANFUT,30
93,29.95,31.75,77.75,71.64999999999999,22.4,34.7,84.5,INDHOTEL24JANFUT,28
94,36.15,36.0,35.95,55.7,36.75,41.75,62.8,IGL24JANFUT,35
95,18.1,10.6,32.4,32.7,17.3,33.85,20.4,IEX24JANFUT,20
96,7.1,7.4,7.5,7.85,8.600000000000001,9.3,8.75,IDFCFIRSTB24JANFUT,6
97,8.35,8.75,8.7,9.45,19.1,19.75,20.0,IDFC24JANFUT,7
